1000;901;
2000;3117;
3000;7811;
4000;16023;
5000;20042;
6000;28979;
7000;42271;
8000;57348;
9000;68371;
10000;89559;
11000;99756;
12000;140037;
13000;148217;
14000;165433;
15000;193385;
